model_type,rank,regularization,train_rmse,test_rmse
explicit,10,1,0.3518713085472958,2.9177706075757435
implicit,10,1,7.642094651564277,7.912597543101461
explicit_nonnegative,10,1,0.36550044872860676,2.541436381885685
